abs_x,abs_y,alfa
82.06,59.25,165
82.06,59.25,172.5
82.06,59.25,180
82.06,59.25,-180
82.06,59.25,-180
82.06,59.25,-172.5
82.06,59.25,-165
82.06,59.25,-157.5
82.06,59.25,-150
82.06,59.25,-142.5
82.06,59.25,-135
82.06,59.25,-127.5
82.06,59.25,-120
82.06,59.25,-112.5
82.06,59.25,-105
82.06,59.25,-97.5
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-90
82.06,59.25,-97.5
82.06,59.25,-105
82.06,59.25,-112.5
82.06,59.25,-120
82.06,59.25,-127.5
82.06,59.25,-135
82.06,59.25,-142.5
82.06,59.25,-150
82.06,59.25,-157.5
82.06,59.25,-165
82.06,59.25,-172.5
82.06,59.25,-180
82.06,59.25,180
82.06,59.31,180
82.06,59.44,180
82.06,59.63,180
82.06,59.88,180
82.06,60.19,180
82.06,60.56,180
82.06,61,180
82.06,61.5,180
82.06,62.06,180
82.06,62.69,180
82.06,63.31,180
82.06,63.94,180
82.06,64.56,180
82.06,65.19,180
82.06,65.81,180
82.06,66.44,180
82.06,67.06,180
82.06,67.69,180
82.06,68.31,180
82.06,68.94,180
82.06,69.56,180
82.06,70.19,180
82.06,70.81,180
82.06,71.44,180
82.06,72.06,180
82.06,72.69,180
82.06,73.31,180
82.06,73.94,180
82.06,74.56,180
82.06,75.19,180
82.06,75.81,180
82.06,76.44,180
82.06,77.06,180
82.06,77.69,180
82.06,78.31,180
82.06,78.94,180
82.06,79.56,180
82.06,80.19,180
82.06,80.81,180
82.06,81.38,180
82.06,81.88,180
82.06,82.31,180
82.06,82.69,180
82.06,83,180
82.06,83.25,180
82.06,83.25,180
82.06,83.5,180
82.06,83.75,172.5
82.05,83.99,165
82.03,84.22,157.5
82,84.44,150
81.95,84.64,142.5
81.88,84.81,135
81.78,84.96,127.5
81.65,85.09,120
81.5,85.18,112.5
81.31,85.25,105
81.1,85.28,97.5
80.85,85.28,90
80.6,85.28,90
80.35,85.28,90
80.1,85.28,90
79.85,85.28,90
79.6,85.28,90
79.35,85.28,90
79.1,85.28,90
78.85,85.28,90
78.6,85.28,90
78.35,85.28,90
78.1,85.28,90
77.85,85.28,90
77.6,85.28,90
77.35,85.28,90
77.1,85.28,90
76.85,85.28,90
76.6,85.28,90
76.35,85.28,90
76.1,85.28,90
75.85,85.28,90
75.6,85.28,90
75.35,85.28,90
75.1,85.28,90
74.85,85.28,90
74.6,85.28,90
74.35,85.28,90
74.1,85.28,90
73.85,85.28,90
73.6,85.28,90
73.35,85.28,90
73.1,85.28,90
72.85,85.28,90
72.6,85.28,90
72.35,85.28,90
72.1,85.28,90
71.85,85.28,90
71.6,85.28,90
71.35,85.28,90
71.1,85.28,90
70.85,85.28,90
70.6,85.28,90
70.35,85.28,90
70.1,85.28,90
69.85,85.28,90
69.6,85.28,90
69.35,85.28,90
69.1,85.28,90
68.85,85.28,90
68.6,85.28,90
68.35,85.28,90
68.1,85.28,90
67.85,85.28,90
67.6,85.28,90
67.35,85.28,90
67.1,85.28,90
66.85,85.28,90
66.6,85.28,90
66.35,85.28,90
66.1,85.28,90
65.85,85.28,90
65.6,85.28,90
65.35,85.28,90
65.1,85.28,90
64.85,85.28,90
64.6,85.28,90
64.35,85.28,90
64.1,85.28,90
63.85,85.28,90
63.6,85.28,90
63.35,85.28,90
63.1,85.28,90
62.85,85.28,90
62.6,85.28,90
62.35,85.28,90
62.1,85.28,90
61.85,85.28,90
61.6,85.28,90
61.35,85.28,90
61.1,85.28,90
60.85,85.28,90
60.6,85.28,90
60.35,85.28,90
60.1,85.28,90
59.85,85.28,90
59.6,85.28,90
59.35,85.28,90
59.1,85.28,90
58.85,85.28,90
58.6,85.28,90
58.35,85.28,90
58.1,85.28,90
57.85,85.28,90
57.6,85.28,90
57.35,85.28,90
57.1,85.28,90
56.85,85.28,90
56.6,85.28,90
56.35,85.28,90
56.1,85.28,90
55.85,85.28,90
55.6,85.28,90
55.35,85.28,90
55.1,85.28,90
54.85,85.28,90
54.6,85.28,90
54.35,85.28,90
54.1,85.28,90
53.85,85.28,90
53.6,85.28,90
53.35,85.28,90
53.1,85.28,90
52.85,85.28,90
52.6,85.28,90
52.35,85.28,90
52.1,85.28,90
51.85,85.28,90
51.6,85.28,90
51.35,85.28,90
51.1,85.28,90
50.85,85.28,90
50.6,85.28,90
50.35,85.28,90
50.1,85.28,90
49.85,85.28,90
49.6,85.28,90
49.35,85.28,90
49.1,85.28,90
48.85,85.28,90
48.6,85.28,90
48.35,85.28,90
48.1,85.28,90
47.85,85.28,90
47.6,85.28,90
47.35,85.28,90
47.1,85.28,90
46.85,85.28,90
46.6,85.28,82.5
46.36,85.27,75
46.13,85.25,67.5
45.91,85.22,60
45.71,85.17,52.5
45.53,85.09,45
45.38,85,37.5
45.26,84.87,30
45.16,84.72,22.5
45.1,84.53,15
45.06,84.31,7.5
45,84.06,0
45,83.81,0
45,83.56,0
45,83.31,0
45,83.06,0
45,82.81,0
45,82.56,0
45,82.31,0
45,82.06,0
45,81.81,0
45,81.56,0
45,81.31,0
45,81.06,0
45,80.81,0
45,80.56,0
45,80.31,0
45,80.06,0
45,79.81,0
45,79.56,0
45,79.31,0
45,79.06,0
45,78.81,0
45,78.56,0
45,78.31,0
45,78.06,0
45,77.81,0
45,77.56,0
45,77.31,0
45,77.06,0
45,76.81,0
45,76.56,0
45,76.31,0
45,76.06,0
45,75.81,0
45,75.56,0
45,75.31,0
45,75.06,0
45,74.81,0
45,74.56,0
45,74.31,0
45,74.06,0
45,73.81,0
45,73.56,0
45,73.31,0
45,73.06,0
45,72.81,0
45,72.56,0
45,72.31,0
45,72.06,0
45,71.81,0
45,71.56,0
45,71.31,0
45,71.06,0
45,70.81,0
45,70.56,0
45,70.31,0
45,70.06,0
45,69.81,0
45,69.56,0
45,69.31,0
45,69.06,0
45,68.81,0
45,68.56,0
45,68.31,0
45,68.06,0
45,67.81,0
45,67.56,0
45,67.31,0
45,67.06,0
45,66.81,0
45,66.56,0
45,66.31,0
45,66.06,0
45,65.81,0
45,65.56,0
45,65.31,0
45,65.06,0
45,64.81,0
45,64.56,0
45,64.31,0
45,64.06,0
45,63.81,0
45,63.56,0
45,63.31,0
45,63.06,0
45,62.81,0
45,62.56,0
45,62.31,0
45,62.06,0
45,61.81,0
45,61.56,0
45,61.31,0
45,61.06,0
45,60.81,0
45,60.56,0
45,60.31,0
45,60.06,0
45,59.81,0
45,59.56,0
45,59.31,0
45,59.06,0
45,58.81,0
45,58.56,0
45,58.31,0
45,58.06,0
45,57.81,0
45,57.56,0
45,57.31,0
45,57.06,0
45,56.81,0
45,56.56,0
45,56.31,0
45,56.06,0
45,55.81,0
45,55.56,0
45,55.31,0
45,55.06,0
45,54.81,0
45,54.56,0
45,54.31,0
45,54.06,0
45,53.81,0
45,53.56,0
45,53.31,0
45,53.06,0
45,52.81,0
45,52.56,0
45,52.31,0
45,52.06,0
45,51.81,0
45,51.56,0
45,51.31,0
45,51.06,0
45,50.81,0
45,50.56,0
45,50.31,0
45,50.06,0
45,49.81,0
45,49.56,0
45,49.31,0
45,49.06,0
45,48.81,0
45,48.56,0
45,48.31,0
45,48.06,0
45,47.81,0
45,47.56,0
45,47.31,0
45,47.06,0
45,46.81,0
45,46.56,0
45,46.31,0
45,46.06,0
45,45.81,0
45,45.56,0
45,45.38,0
45,45.25,0
45,45.19,0
45,45.19,0
45,45,0
